Title,Date
"Chambers: Season 1: Into the Void","2020-05-03"
"Collateral: Limited Series: Episode 3","2020-05-03"
"La Reina del Sur: Season 1: Episode 1","2020-05-03"
"Ozark: Season 3: Fire Pink","2020-04-30"
"Uncut Gems","2020-04-30"
"Ozark: Season 3: BFF","2020-04-27"
"Ozark: Season 3: In Case of Emergency","2020-04-20"
"Ozark: Season 3: Su Casa Es Mi Casa","2020-04-19"
"Sergio","2020-04-18"
"Ozark: Season 3: It Came From Michoacán","2020-04-17"
"Elite: Season 1: Welcome","2020-04-15"
"Ozark: Season 3: Boss Fight","2020-04-15"
"Ozark: Season 3: Kevin Cronin Was Here","2020-04-14"
"Ozark: Season 3: Civil Union","2020-04-13"
"You Cannot Hide: Season 1: Face to Face","2020-04-11"
"You Cannot Hide: Season 1: Intuition","2020-04-09"
"You Cannot Hide: Season 1: Final Destination","2020-04-07"
"You Cannot Hide: Season 1: A New Suspect","2020-04-06"
"You Cannot Hide: Season 1: The Truth","2020-04-06"
"You Cannot Hide: Season 1: In Danger","2020-04-05"
"You Cannot Hide: Season 1: Proof Of The Crime","2020-04-05"
"You Cannot Hide: Season 1: The Tattoo","2020-04-02"
"You Cannot Hide: Season 1: The Hint","2020-04-02"
"Ares: Season 1: Episode 2","2020-03-31"
"Ozark: Season 3: Wartime","2020-03-29"
"Ares: Season 1: Episode 1","2020-03-25"
"Hache: Season 1: Helena with an H","2020-03-17"
"Hache: Season 1: The carousel","2020-03-13"
"Queen Sono: Season 1: State of Emergency","2020-03-06"
"Queen Sono: Season 1: Sugar Water","2020-03-06"
"Queen Sono: Season 1: The Devil's Toys","2020-03-05"
"Queen Sono: Season 1: Rookie","2020-03-05"
"Queen Sono: Season 1: Dying Is Sore","2020-03-04"
"Queen Sono: Season 1: I Am Queen Sono","2020-03-04"
"Black Mirror: Season 5: Smithereens","2020-02-29"
"Black Mirror: Season 5: Striking Vipers","2020-02-29"
"Hache: Season 1: Marseille","2020-02-28"
"Hache: Season 1: Vengeance","2020-02-28"
"Hache: Season 1: The kiss of death","2020-02-19"
"You: Season 1: Living with the Enemy","2020-02-15"
"You Cannot Hide: Season 1: On The Run","2020-01-31"
"Hache: Season 1: The first job","2020-01-12"
"The Irishman","2020-01-11"
"Hache: Season 1: The bout","2020-01-11"
"Hache: Season 1: Dolls floating at sea","2020-01-11"
"You: Season 1: The Captain","2019-12-23"
"6 Underground","2019-12-21"
"The Club: Season 1: MDMA AND BAD IDEAS","2019-12-06"
"Marianne: Season 1: Tuesday","2019-12-06"
"You: Season 1: Maybe","2019-11-28"
"Marianne: Season 1: Memories","2019-11-26"
"Marianne: Season 1: Too Young to Handle It","2019-11-23"
"Criminal: Spain: Season 1: Isabel","2019-11-23"
"Marianne: Season 1: You Left Her","2019-11-15"
"Marianne: Season 1: Beautiful Moment","2019-11-13"
"You: Season 1: Amour Fou","2019-11-05"
"Bloodline: Season 1: Part 2","2019-10-15"
"The Spy: Limited Series: Home","2019-10-12"
"The Spy: Limited Series: Fish Gotta Swim","2019-10-12"
"The Spy: Limited Series: The Odd Couples","2019-10-12"
"The Spy: Limited Series: Alone in Damascus","2019-10-12"
"The Spy: Limited Series: What's New, Buenos Aires?","2019-10-12"
"The Spy: Limited Series: The Immigrant","2019-10-12"
"In the Shadow of the Moon","2019-10-12"
"You: Season 1: The Last Nice Guy in New York","2019-10-12"
"Marianne: Season 1: Not an Easy Person","2019-10-12"
"Marianne: Season 1: Tradition","2019-10-11"
"Marianne: Season 1: Your Dreams","2019-10-11"
"You: Season 1: Pilot","2019-10-10"
"Criminal: Spain: Season 1: Carmelo","2019-10-10"
"Criminal: Spain: Season 1: Carmen","2019-10-10"
"1922","2019-09-27"
"Secret City: A Donation to the Struggle","2019-09-22"
"Close","2019-09-22"
"Bloodline: Season 1: Part 1","2019-09-22"
"The Fall: Series 1: Dark Descent","2019-09-13"
"Better Than Us: Season 1: Episode 1","2019-08-29"
"Wu Assassins: Season 1: Drunken Watermelon","2019-08-29"
"Bates Motel: Season 5: The Cord","2019-08-20"
"Bates Motel: Season 5: Visiting Hours","2019-08-08"
"Maria","2019-07-13"
"Bates Motel: Season 5: The Body","2019-07-12"
"Bates Motel: Season 5: Inseparable","2019-07-12"
"Bates Motel: Season 5: Marion","2019-07-11"
"Bates Motel: Season 5: Dreams Die First","2019-07-11"
"Bates Motel: Season 5: Hidden","2019-07-08"
"Bates Motel: Season 5: Bad Blood","2019-07-07"
"Bates Motel: Season 5: The Convergence of the Twain","2019-07-06"
"Bates Motel: Season 5: Dark Paradise","2019-07-06"
"Bates Motel: Season 4: Norman","2019-07-05"
"Bates Motel: Season 4: Forever","2019-07-05"
"Bates Motel: Season 4: Unfaithful","2019-07-05"
"Bates Motel: Season 4: There's No Place Like Home","2019-07-05"
"Bates Motel: Season 4: The Vault","2019-07-04"
"Bates Motel: Season 4: Refraction","2019-07-04"
"Bates Motel: Season 4: Lights of Winter","2019-07-04"
"Bates Motel: Season 4: 'Til Death Do You Part","2019-07-03"
"Bates Motel: Season 4: Goodnight Mother","2019-07-03"
"Bates Motel: Season 4: A Danger to Himself and Others","2019-07-03"
"Bates Motel: Season 3: Unconscious","2019-07-02"
"Bates Motel: Season 3: Crazy","2019-07-02"
"Bates Motel: Season 3: The Pit","2019-07-01"
"Bates Motel: Season 3: The Last Supper","2019-07-01"
"Bates Motel: Season 3: Norma Louise","2019-07-01"
"Bates Motel: Season 3: The Deal","2019-06-30"
"Bates Motel: Season 3: Unbreak-Able","2019-06-29"
"Bates Motel: Season 3: Persuasion","2019-06-29"
"Bates Motel: Season 3: The Arcanum Club","2019-06-29"
"Bates Motel: Season 3: A Death in the Family","2019-06-28"
"Bates Motel: Season 2: The Immutable Truth","2019-06-28"
"Bates Motel: Season 2: The Box","2019-06-28"
"Bates Motel: Season 2: Meltdown","2019-06-27"
"Bates Motel: Season 2: Plunge","2019-06-27"
"Bates Motel: Season 2: Presumed Innocent","2019-06-27"
"Bates Motel: Season 2: The Escape Artist","2019-06-26"
"Bates Motel: Season 2: Check-Out","2019-06-24"
"Bates Motel: Season 2: Caleb","2019-06-23"
"Bates Motel: Season 2: Shadow of a Doubt","2019-06-20"
"Bates Motel: Season 2: Gone But Not Forgotten","2019-06-15"
"Bates Motel: Season 1: Midnight","2019-06-14"
"Bates Motel: Season 1: Underwater","2019-06-08"
"Bates Motel: Season 1: A Boy and His Dog","2019-06-08"
"Bates Motel: Season 1: The Man in Number 9","2019-06-03"
"Bates Motel: Season 1: The Truth","2019-06-03"
"Bates Motel: Season 1: Ocean View","2019-05-29"
"Bates Motel: Season 1: Trust Me","2019-05-29"
"Bates Motel: Season 1: What's Wrong with Norman","2019-05-29"
"Bates Motel: Season 1: Nice Town You Picked, Norma...","2019-05-29"
"Bates Motel: Season 1: First You Dream, Then You Die","2019-05-27"
"Gossip Girl: Season 1: Pilot","2019-05-26"
"Anon","2019-05-26"
"Fauda: Season 1: Episode 1","2019-05-25"
"Avengers: Infinity War","2019-05-14"
"Broadchurch: Season 3: Episode 8","2019-05-11"
"Broadchurch: Season 3: Episode 7","2019-05-11"
"Broadchurch: Season 3: Episode 6","2019-05-04"
"Broadchurch: Season 3: Episode 5","2019-05-04"
"Broadchurch: Season 3: Episode 4","2019-05-04"
"Gotti","2019-04-27"
"Bodyguard: Season 1: Episode 6","2019-04-25"
"Bodyguard: Season 1: Episode 5","2019-04-25"
"Broadchurch: Season 3: Episode 3","2019-04-19"
"Collateral: Limited Series: Episode 4","2019-04-19"
"Bodyguard: Season 1: Episode 4","2019-04-08"
"Bodyguard: Season 1: Episode 3","2019-04-01"
"Bodyguard: Season 1: Episode 2","2019-04-01"
"A Quiet Place","2019-03-17"
"Trump: An American Dream: Season 1: Manhattan","2019-03-17"
"Trump: An American Dream: Season 1: The Gambler","2019-03-17"
"Insatiable: Season 1: Skinny Is Magic","2019-02-24"
"Broadchurch: Season 3: Episode 2","2019-02-23"
"Broadchurch: Season 3: Episode 1","2019-02-23"
"Collateral: Limited Series: Episode 2","2019-02-18"
"Collateral: Limited Series: Episode 1","2019-02-18"
"Insatiable: Season 1: Pilot","2019-01-18"
"Intelligence: Season 1: Pilot","2019-01-10"
"Bodyguard: Season 1: Episode 1","2018-11-10"
"Marcella: Season 1: Episode 2","2018-11-10"
"Marvel's Iron Fist: Season 1: Bar the Big Boss","2018-11-10"
"Marvel's Daredevil: Season 3: No Good Deed","2018-11-10"
"Broadchurch: Season 2: Episode 8","2018-11-10"
"Broadchurch: Season 2: Episode 7","2018-11-10"
"Marvel's Iron Fist: Season 1: Lead Horse Back to Stable","2018-11-07"
"Marvel's Daredevil: Season 3: Please","2018-11-07"
"Marvel's Daredevil: Season 3: Resurrection","2018-10-19"
"Ozark: Season 2: The Gold Coast","2018-10-19"
"Ozark: Season 2: The Badger","2018-10-18"
"Ozark: Season 2: The Big Sleep","2018-10-12"
"Ozark: Season 2: One Way Out","2018-10-12"
"Ozark: Season 2: Outer Darkness","2018-10-07"
"Ozark: Season 2: Game Day","2018-10-07"
"Broadchurch: Season 2: Episode 6","2018-09-29"
"Ozark: Season 2: Stag","2018-09-29"
"The Hitman’s Bodyguard","2018-09-20"
"Broadchurch: Season 2: Episode 5","2018-09-17"
"Like Father","2018-09-16"
"Ozark: Season 2: Once a Langmore...","2018-09-16"
"Ozark: Season 2: The Precious Blood of Jesus","2018-09-16"
"Ozark: Season 2: Reparations","2018-09-01"
"Queen of the South: Season 1: Piloto","2018-08-12"
"Marcella: Season 1: Episode 1","2018-08-12"
"Marvel's The Punisher: Season 1: Kandahar","2018-07-27"
"Marvel's The Punisher: Season 1: Two Dead Men","2018-07-16"
"Elle","2018-06-22"
"Marvel's The Punisher: Season 1: 3AM","2018-06-22"
"Marvel's Jessica Jones: Season 2: AKA I Want Your Cray Cray","2018-06-21"
"Marvel's Jessica Jones: Season 2: AKA Facetime","2018-06-21"
"Marvel's Jessica Jones: Season 2: AKA The Octopus","2018-06-17"
"Broadchurch: Season 2: Episode 4","2018-06-17"
"Gypsy: Season 1: The Commune","2018-06-09"
"The Bridge: Season 2: Episode 8","2018-06-08"
"Longmire: Season 6: Goodbye Is Always Implied","2018-06-01"
"Marvel's The Defenders: Limited Series: Ashes, Ashes","2018-05-30"
"Marvel's Jessica Jones: Season 2: AKA God Help the Hobo","2018-05-27"
"Marvel's Jessica Jones: Season 2: AKA Sole Survivor","2018-05-27"
"Unlocked","2018-05-26"
"The Bridge: Season 2: Episode 7","2018-05-21"
"Broadchurch: Season 2: Episode 3","2018-05-12"
"The Bridge: Season 2: Episode 6","2018-05-09"
"Marvel's Jessica Jones: Season 2: AKA Freak Accident","2018-05-02"
"The Bridge: Season 2: Episode 5","2018-04-28"
"Longmire: Season 6: Running Eagle Challenge","2018-04-27"
"Gypsy: Season 1: 309","2018-04-17"
"Longmire: Season 6: Cowboy Bill","2018-04-14"
"The Bridge: Season 2: Episode 4","2018-04-13"
"The Client List: Season 1: Tough Love","2018-04-09"
"Marvel's The Defenders: Limited Series: The Defenders","2018-04-06"
"Marvel's The Defenders: Limited Series: Fish in the Jailhouse","2018-04-06"
"Longmire: Season 6: Opiates and Antibiotics","2018-03-23"
"Marvel's Jessica Jones: Season 2: AKA Start at the Beginning","2018-03-22"
"The Bridge: Season 2: Episode 3","2018-03-19"
"Broadchurch: Season 2: Episode 2","2018-03-17"
